ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
107.0,adc_b1_ch7,bt_p7,1.402856287821072,0.6358654096215249,25.987349901258398,27.0,0.0178641138502236,0.017135782713479382,2100.0
108.0,adc_b1_ch8,bt_p8,1.5001505638585941,0.7564764754051259,20.800974254381323,27.0,0.01972956791047686,0.024415841877839375,2100.0
109.0,adc_b1_ch9,bt_p9,1.4058762441215844,0.7436785110119143,25.83053635376509,27.0,0.034455480356639256,0.037370203227142094,2125.0
110.0,adc_b1_ch10,bt_p10,1.6029448545479836,0.531568211596644,15.23349262097897,27.0,0.017078147299468903,0.014323742301745173,1975.0
111.0,adc_b1_ch11,bt_p11,1.6712950228617625,0.6747740524078775,20.93095543977497,27.0,0.024550689606126122,0.031102405895143292,2000.0
112.0,adc_b1_ch12,bt_p12,1.6165210961657221,0.6420027460626471,17.25537221597149,27.0,0.016553320448110913,0.019558430590002784,1900.0
113.0,adc_b1_ch13,bt_p13,1.4789312172349744,1.0295642339411237,20.97164294805201,32.0,0.06043941291371842,0.0814265258551798,2125.0
114.0,adc_b1_ch14,bt_p14,1.3033539290540255,0.5158081835681503,22.117629167835055,23.0,0.023702685851229848,0.024542559245826878,2000.0
115.0,adc_b1_ch15,bt_p15,1.529331869025996,0.6736280936272309,22.940443798218258,26.0,0.03218363112536655,0.027280431465364973,2025.0
200.0,adc_b2_ch0,bt_p16,1.530134688481819,0.6550324222181796,34.34452395627511,27.0,0.01888652074783561,0.020990021326521804,1900.0
201.0,adc_b2_ch1,bt_p17,1.3602624236309873,0.94359462980614,33.89855310874616,31.0,0.05116086536484749,0.053013715140112626,2125.0
202.0,adc_b2_ch2,bt_p18,1.53732614369957,0.647346544190298,31.03691331052151,27.0,0.0242305394832158,0.027688221437744086,2150.0
203.0,adc_b2_ch3,bt_p19,1.3976741626462297,0.49569017820811206,29.498785415661473,25.0,0.020031257115802024,0.01971560366949747,1900.0
204.0,adc_b2_ch4,bt_p20,1.5217449622990111,0.6948794587751993,30.808140965196127,27.0,0.02805864066954621,0.033203289668760266,2100.0
205.0,adc_b2_ch5,bt_p21,1.4712814745593432,0.6201322153291942,43.7285536734867,27.0,0.023334018657267166,0.024256463884493703,2000.0
206.0,adc_b2_ch6,bt_p22,1.5617428128920399,0.5914195683184968,39.05860564872803,27.0,0.015916238935962886,0.017076913397685616,1800.0
207.0,adc_b2_ch7,bt_p23,1.6091300759631413,0.7675856176025926,34.17669122098787,27.0,0.02651513922365475,0.03696117730390192,1925.0
208.0,adc_b2_ch8,bt_p24,1.5328854144833866,1.1201088587351007,27.08587885580223,31.0,0.07683901623640757,0.11623111078842346,2050.0
209.0,adc_b2_ch9,bt_p25,1.4058941383314534,0.6200853713348995,21.413121110048884,27.0,0.01775925781924324,0.016957541051076577,2000.0
210.0,adc_b2_ch10,bt_p26,1.3501622857650188,0.6729414609974108,29.294740350071297,26.0,0.04531880126046046,0.049388220553691194,1850.0
211.0,adc_b2_ch11,bt_p27,1.5476883933171914,0.6269939153104871,30.422229797142823,27.0,0.021956489470124685,0.025073708679622247,1850.0
212.0,adc_b2_ch12,bt_p28,1.5942161840712747,0.8020980875243895,30.999910288264605,27.0,0.03300060901986735,0.04738548652969876,2050.0
213.0,adc_b2_ch13,bt_p29,1.4912334959731437,0.5860386486068617,25.565058833011765,27.0,0.016646770108386437,0.016573280760178204,2000.0
214.0,adc_b2_ch14,bt_p30,1.5476353179383227,0.5834482116917595,25.935315396964455,27.0,0.014134566527354718,0.014564660740171386,2025.0
300.0,adc_b3_ch0,b1_p1,1.510300906937264,0.764754950681621,26.2640380785613,27.0,0.03526072350175931,0.04368854826446352,2075.0
301.0,adc_b3_ch1,b1_p2,1.3322095758490486,0.6105527134799175,23.484788222007353,28.0,0.020398486530843186,0.018947566884758824,2225.0
302.0,adc_b3_ch2,b1_p3,1.4412958310699033,0.5667266694479249,27.686175195343463,25.0,0.015826085993277266,0.01762573854908559,2075.0
303.0,adc_b3_ch3,b1_p4,1.6404115223908404,0.7044995757150755,22.292344032577855,27.0,0.018185334195339308,0.02400388192066333,1950.0
304.0,adc_b3_ch4,b2_p1,1.339348284272299,0.49846219402900277,40.05760713327716,24.0,0.026209859794223207,0.024228385347833732,2225.0
305.0,adc_b3_ch5,b2_p2,1.5222991627012732,0.6515851762678159,19.17227783750276,27.0,0.012145105367697964,0.01361395453381073,2225.0
306.0,adc_b3_ch6,b2_p3,1.607526502664107,0.5781553669216225,42.10951261012413,27.0,0.022609554908903005,0.024037118641383554,1950.0
307.0,adc_b3_ch7,b2_p4,1.4888004622501934,0.5104174709197111,23.08257785618986,22.0,0.019752745190124203,0.02045351553428493,1850.0
308.0,adc_b3_ch8,b3_p1,1.4378329391212152,0.5242879475231815,15.696245602345265,22.0,0.015983890356293006,0.018812801782656034,2125.0
309.0,adc_b3_ch9,b3_p2,1.4610624459069912,0.6899407334206485,21.0690664715296,27.0,0.02236671282453529,0.02455918905528163,1900.0
310.0,adc_b3_ch10,b3_p3,1.478476601991639,0.7351337329116465,28.88182366042852,27.0,0.02479566704174094,0.02963931773311857,2075.0
311.0,adc_b3_ch11,b3_p4,1.7412983280094063,0.7928100497134362,42.03781745986114,27.0,0.03159688929499144,0.04764078292760034,2000.0
312.0,adc_b3_ch12,b4_p1,1.5935599744446884,0.6906898528083772,56.333032945635914,25.0,0.03153710687925892,0.04510180111324508,2100.0
313.0,adc_b3_ch13,b4_p2,1.6027943023400983,0.8850343513057477,19.216316477638344,27.0,0.034934962550420064,0.05610136948179337,1950.0
314.0,adc_b3_ch14,b4_p3,1.677565374842175,0.5933521027810794,41.765118394192804,27.0,0.030446658582424107,0.03564320438324179,2025.0
315.0,adc_b3_ch15,b4_p4,1.4064826760255755,0.45624922950261293,15.497409295557723,17.0,0.07621902656174337,0.0735617349105841,2250.0
