ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.523115655357377,1.279007813069471,30.8334406348462,34,0.05648996149880464,0.09569280024006281,1900
102,adc_b1_ch2,bt_p2,1.3603744361809251,0.6643175188831781,27.952927545464405,27,0.03801478144294879,0.035038095198892345,2000
103,adc_b1_ch3,bt_p3,1.8089003182834826,0.6771148552673372,41.15559012716324,27,0.03701357814741991,0.04397300195782631,2000
104,adc_b1_ch4,bt_p4,1.3881495140640163,0.7509681841005229,34.916130960173135,22,0.03130509263207536,0.05229431107910192,2200
105,adc_b1_ch5,bt_p5,1.8829121721212108,0.7574199822043391,25.23047844812673,26,0.03892723899557253,0.05752541713193008,1950
106,adc_b1_ch6,bt_p6,1.6826830494394618,0.6560007690501419,20.130328223795768,29,0.02400786994133862,0.025095794586261003,1800
107,adc_b1_ch7,bt_p7,1.4183671766423407,0.7021267365944353,19.115738398842122,27,0.03286755035609525,0.03512437123044154,2100
108,adc_b1_ch8,bt_p8,1.5410907061627597,0.640281047746294,26.045821361030843,27,0.027946442986871156,0.030943350426441068,2100
109,adc_b1_ch9,bt_p9,1.4425373397521681,0.6998761448440649,28.152300240247754,27,0.02508714257938233,0.027199605879822734,2125
110,adc_b1_ch10,bt_p10,1.634540402119909,0.5729417422803773,33.01356604425533,27,0.022919757371982777,0.02022830281524535,1975
111,adc_b1_ch11,bt_p11,1.6082531431309741,0.7174943643014257,44.65120514382035,27,0.034560506924695804,0.04596289770360046,2000
112,adc_b1_ch12,bt_p12,1.6113962650170288,0.66765588870327,39.873778978282026,27,0.022864559043229708,0.02805012126429556,1900
113,adc_b1_ch13,bt_p13,1.3359170518742363,1.076699030040304,24.420711416301938,32,0.07052071352642184,0.08227441097485061,2125
114,adc_b1_ch14,bt_p14,1.2966785797223785,0.5088851894339683,15.058100647225906,23,0.015730575991303685,0.01603960573889269,2000
115,adc_b1_ch15,bt_p15,1.5957730717497407,0.6232618548634479,30.32559470736643,26,0.023304999026379253,0.020808883754848816,2025
200,adc_b2_ch0,bt_p16,1.5249753545488498,0.6753974100608308,17.22004377009855,27,0.011652181742226984,0.013430684435026482,1900
201,adc_b2_ch1,bt_p17,1.4272881774905593,0.852977149255811,22.096987355246466,31,0.025970117720344063,0.027734917047164773,2125
202,adc_b2_ch2,bt_p18,1.5214717891559928,0.646662000997712,23.320456447566155,27,0.01754083200097683,0.019413427637817483,2150
