ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.387469631487944,1.375253699515315,31.45635837376604,34,0.07869578993553002,0.11977974269010339,1900
102,adc_b1_ch2,bt_p2,1.37535867288039,0.6878193526978252,25.56031102411736,27,0.03683916187884559,0.036749591398778085,2000
103,adc_b1_ch3,bt_p3,1.7777549509507302,0.7764857255673792,43.11145705034299,27,0.044887429942617435,0.06530991113650352,2000
104,adc_b1_ch4,bt_p4,1.3955382791289912,0.8027919919922483,33.88711341350713,22,0.03460357120259722,0.060694315061220326,2200
105,adc_b1_ch5,bt_p5,1.8367802593575713,0.7448441035635769,36.06534369790822,26,0.04458625513887368,0.06764935761547423,1950
106,adc_b1_ch6,bt_p6,1.652157533013354,0.6783115097048397,62.29969350879043,29,0.047498640287389274,0.04978084320843957,1800
107,adc_b1_ch7,bt_p7,1.425016045996069,0.70352899105392,30.02332229750391,27,0.040604127655342194,0.041999869857814884,2100
108,adc_b1_ch8,bt_p8,1.5124357947180815,0.7499321162796859,25.627828633456318,27,0.03783536607710245,0.0461819879252365,2100
109,adc_b1_ch9,bt_p9,1.4603447805571785,0.7355944610650121,9.637378793683874,27,0.015654274144719628,0.01780384971605836,2125
110,adc_b1_ch10,bt_p10,1.6502522247984164,0.5226018138018292,23.46456455178064,27,0.015743952512856648,0.01325152290465872,1975
111,adc_b1_ch11,bt_p11,1.6365335927509308,0.7143047392048407,30.402734680774913,27,0.027246866989640916,0.03574527212571848,2000
112,adc_b1_ch12,bt_p12,1.6301378381643996,0.6530370493518064,28.24262323348411,27,0.018172009839730673,0.02222046712910027,1900
113,adc_b1_ch13,bt_p13,1.384542748526776,1.0633163592177628,16.343380213119087,32,0.05298887042589392,0.06597571619555571,2125
114,adc_b1_ch14,bt_p14,1.309094181603567,0.48739084518495224,23.31869459764685,23,0.017827181313488913,0.017207982594174703,2000
115,adc_b1_ch15,bt_p15,1.5345859500637544,0.6873486309847138,29.990719965022144,26,0.030764400337594058,0.027036167505673486,2025
200,adc_b2_ch0,bt_p16,1.5429020721924402,0.7106025319886919,47.24232351273293,27,0.020909318520753943,0.025706106160248855,1900
201,adc_b2_ch1,bt_p17,1.4654966814639356,0.8537863713634374,40.91928006546846,31,0.034171635667877946,0.0381066848839863,2125
202,adc_b2_ch2,bt_p18,1.5081381089001047,0.6530010032475368,32.606066208968784,27,0.021712608095846256,0.023871954727246753,2150
203,adc_b2_ch3,bt_p19,1.3771672184741697,0.519088927448001,37.11926825585018,25,0.020899521440309748,0.020159372076640574,1900
204,adc_b2_ch4,bt_p20,1.5217544425767882,0.6976876328564371,24.57854464383759,27,0.020492536058069524,0.024476462461042358,2100
205,adc_b2_ch5,bt_p21,1.4640792498823272,0.6234626508701373,18.913544425959255,27,0.027687274179011904,0.027014430706614804,2000
206,adc_b2_ch6,bt_p22,1.5344175832603564,0.6294402002047712,26.955319620206446,27,0.02644594788337738,0.029121348860885896,1800
207,adc_b2_ch7,bt_p23,1.5645321329815958,0.7049854596904092,23.339753541952113,27,0.03398288699462584,0.04183216861866569,1925
208,adc_b2_ch8,bt_p24,1.5706971336483606,1.0879148580308813,23.15914326068314,31,0.05194236020216182,0.08035105184345093,2050
209,adc_b2_ch9,bt_p25,1.4039225179763921,0.6000872632540466,20.29535786691443,27,0.028593680115530304,0.02735032084883553,2000
210,adc_b2_ch10,bt_p26,1.4714674546189512,0.6237382598140134,33.88473198795479,26,0.029996415696796813,0.03361423574804584,1850
211,adc_b2_ch11,bt_p27,1.5447614619009515,0.6183434077940315,26.89061150791794,27,0.016914764792075553,0.018447610835275408,1850
212,adc_b2_ch12,bt_p28,1.5323391647815325,0.820544160060282,21.34982299830178,27,0.025507235770781237,0.03523494277777494,2050
213,adc_b2_ch13,bt_p29,1.523662149900961,0.5752042493809021,41.02251305254155,27,0.016757181061526665,0.016868329793569708,2000
214,adc_b2_ch14,bt_p30,1.5633528292327097,0.5784513897976589,22.9208437054896,27,0.022740446521217875,0.02392856549105968,2025
300,adc_b3_ch0,b1_p1,1.5822269798992699,0.7807666709578757,51.578337261382245,27,0.040223288617080674,0.053548379725046155,2075
301,adc_b3_ch1,b1_p2,1.3643364044961934,0.62297807143025,30.388364118882723,28,0.019880825937639474,0.01903176024840027,2225
302,adc_b3_ch2,b1_p3,1.4239743200784436,0.5508794168397426,35.449782582773025,25,0.03112155926998708,0.03188146004269715,2075
303,adc_b3_ch3,b1_p4,1.6678509097424477,0.701588843760963,39.312440115748984,27,0.020345627914320433,0.026413574843118934,1950
304,adc_b3_ch4,b2_p1,1.3763817140058956,0.49184350769824575,36.36629155056839,24,0.019745166505914367,0.017552911845807116,2225
