ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
108.0,adc_b1_ch8,bt_p8,1.5161629909678809,0.7052009924907573,40.79465310173279,27.0,0.02365635380805501,0.028151091284125,2100.0
109.0,adc_b1_ch9,bt_p9,1.4291759478680774,0.6736396200376694,27.160738721894393,27.0,0.027441074999839,0.0284501470995205,2125.0
110.0,adc_b1_ch10,bt_p10,1.576046226682832,0.5928055658592357,41.21164884312374,27.0,0.03582620280319697,0.029513482119331417,1975.0
111.0,adc_b1_ch11,bt_p11,1.6438073957126356,0.7255881297779905,15.870299824768374,27.0,0.023620959395861573,0.031659564609995694,2000.0
112.0,adc_b1_ch12,bt_p12,1.6169801689198942,0.6217172980822551,25.041849027695985,27.0,0.018471972189394642,0.021582175538506432,1900.0
113.0,adc_b1_ch13,bt_p13,1.459229172595217,1.0375151001545704,20.887146657528348,32.0,0.059777713377583634,0.08089763087001921,2125.0
114.0,adc_b1_ch14,bt_p14,1.2810221337358885,0.5013626620731095,24.749001109105492,23.0,0.024539615688478223,0.023878166222257906,2000.0
115.0,adc_b1_ch15,bt_p15,1.5671262795338303,0.6129364514858116,29.650489906357663,26.0,0.02778883979669602,0.024082560413275125,2025.0
200.0,adc_b2_ch0,bt_p16,1.5472798456714458,0.6861275474805948,30.962164057201964,27.0,0.01869769703311836,0.022376430798368114,1900.0
201.0,adc_b2_ch1,bt_p17,1.356516644839208,0.9259736699442507,45.216815429665886,31.0,0.05793480754125557,0.058266304598084837,2125.0
202.0,adc_b2_ch2,bt_p18,1.538825866967749,0.6165280004401481,34.037256678245505,27.0,0.022624142544432672,0.02461183257702179,2150.0
203.0,adc_b2_ch3,bt_p19,1.3770077349719454,0.504374347883643,14.995718168571734,25.0,0.014715025664357688,0.014452905482307224,1900.0
204.0,adc_b2_ch4,bt_p20,1.5179122381101293,0.7713437624015383,20.83437933693026,27.0,0.026563689432763993,0.0340225572550015,2100.0
205.0,adc_b2_ch5,bt_p21,1.4570703021547764,0.6566464376301896,13.85208954061042,27.0,0.014730154127176499,0.015654262249877583,2000.0
206.0,adc_b2_ch6,bt_p22,1.549025850240667,0.5928222581509545,22.752901071756728,27.0,0.025358413492942496,0.02741864249852531,1800.0
207.0,adc_b2_ch7,bt_p23,1.5928848576267713,0.7575745486199652,28.17931258274539,27.0,0.02293038297527953,0.0312552592289807,1925.0
208.0,adc_b2_ch8,bt_p24,1.6110433250831637,1.0534221858074246,24.1572101524021,31.0,0.05543027802465005,0.08985832010091814,2050.0
209.0,adc_b2_ch9,bt_p25,1.4146136340298179,0.6289027981678575,33.4650258460901,27.0,0.02176641291374399,0.02189899730426552,2000.0
210.0,adc_b2_ch10,bt_p26,1.4404484258320185,0.6593644287637241,21.810043436926033,26.0,0.01539451926788138,0.018019554695621207,1850.0
211.0,adc_b2_ch11,bt_p27,1.5306448541885802,0.6097563089976499,33.793284648472294,27.0,0.022213028247599447,0.023649007037838333,1850.0
212.0,adc_b2_ch12,bt_p28,1.5002713898209283,0.8101341589186422,19.806689726012717,27.0,0.029264058547022548,0.039323862141645106,2050.0
213.0,adc_b2_ch13,bt_p29,1.5348611129192578,0.5348326859178124,26.408550765408915,27.0,0.013562366983817456,0.012897254082838278,2000.0
214.0,adc_b2_ch14,bt_p30,1.550402217834745,0.5633737491856073,43.46901411742769,27.0,0.017135721969297878,0.017340636264022158,2025.0
300.0,adc_b3_ch0,b1_p1,1.567588176506762,0.7319036528146814,28.764741372506073,27.0,0.031495140399916494,0.0408343892634455,2075.0
301.0,adc_b3_ch1,b1_p2,1.3491392734700542,0.6272239686495892,28.314443682666294,28.0,0.022448503912138564,0.021814419541190302,2225.0
302.0,adc_b3_ch2,b1_p3,1.4043598590086437,0.5950376422458581,15.897822959418523,25.0,0.013594863021241587,0.014948150564721149,2075.0
303.0,adc_b3_ch3,b1_p4,1.647009733195491,0.6977063080020505,24.99731150740117,27.0,0.01888631784571788,0.024172085264863093,1950.0
304.0,adc_b3_ch4,b2_p1,1.3676658672114903,0.4757775236099642,17.109067679612313,24.0,0.014700322558770493,0.01315559084365361,2225.0
305.0,adc_b3_ch5,b2_p2,1.529148808133415,0.6839775046141706,31.01098693070995,27.0,0.016381797528791115,0.019447599171257227,2225.0
306.0,adc_b3_ch6,b2_p3,1.592549154845047,0.5421051003015754,48.104427216201,27.0,0.020872328430873045,0.02143381038609923,1950.0
307.0,adc_b3_ch7,b2_p4,1.4683092166427656,0.5363398927663986,23.364836048006815,22.0,0.022133208265645264,0.023414081134501594,1850.0
308.0,adc_b3_ch8,b3_p1,1.432847727442643,0.50467459901195,34.27527453777917,22.0,0.02194248188023617,0.02405821726653128,2125.0
309.0,adc_b3_ch9,b3_p2,1.519159954810582,0.6464273007559895,35.760215456844584,27.0,0.024186767988684393,0.026792141636016096,1900.0
310.0,adc_b3_ch10,b3_p3,1.4861034378665015,0.7322902449190342,30.255827853198106,27.0,0.025209551722293135,0.03027514698843992,2075.0
311.0,adc_b3_ch11,b3_p4,1.692881087967508,0.759434903091319,36.167227819035844,27.0,0.026993294087373342,0.039026486532403995,2000.0
312.0,adc_b3_ch12,b4_p1,1.5899128605426092,0.7312930313918033,74.5218360428313,25.0,0.03968045766154437,0.06011145942234647,2100.0
313.0,adc_b3_ch13,b4_p2,1.3602942659662849,0.9820209654041624,16.329249154475203,27.0,0.054569504247576374,0.0678434802846404,1950.0
314.0,adc_b3_ch14,b4_p3,1.6577204162691246,0.6260313442976951,48.03863348120696,27.0,0.034837247506152746,0.04028241933072177,2025.0
315.0,adc_b3_ch15,b4_p4,1.3136047337346712,0.4500873549340604,29.842321843740542,20.0,0.06238455531176804,0.07208853167085785,2250.0
